Date,Ticker,Region,Currency,Close,Volume
2023-02-27,AG,RO,RON,1.142882,26961
2023-02-28,AG,RO,RON,1.115484,16674
2023-03-01,AG,RO,RON,1.135054,21648
2023-03-02,AG,RO,RON,1.144839,24869
2023-03-03,AG,RO,RON,1.142882,21463
2023-03-06,AG,RO,RON,1.144839,3989
2023-03-07,AG,RO,RON,1.125269,37985
2023-03-08,AG,RO,RON,1.142882,33923
2023-03-09,AG,RO,RON,1.146796,3475
2023-03-10,AG,RO,RON,1.148753,6157
2023-03-13,AG,RO,RON,1.135054,1163
2023-03-14,AG,RO,RON,1.144839,6141
2023-03-15,AG,RO,RON,1.129183,32237
2023-03-16,AG,RO,RON,1.113527,22477
2023-03-17,AG,RO,RON,1.133097,22095
2023-03-20,AG,RO,RON,1.133097,10149
2023-03-21,AG,RO,RON,1.125269,2783
2023-03-22,AG,RO,RON,1.133097,3326
2023-03-23,AG,RO,RON,1.135054,39030
2023-03-24,AG,RO,RON,1.144839,11084
2023-03-27,AG,RO,RON,1.133097,22430
2023-03-28,AG,RO,RON,1.133097,3829
2023-03-29,AG,RO,RON,1.164409,126513
2023-03-30,AG,RO,RON,1.176151,10649
2023-03-31,AG,RO,RON,1.174194,6910
2023-04-03,AG,RO,RON,1.179086,27704
2023-04-04,AG,RO,RON,1.203549,23818
2023-04-05,AG,RO,RON,1.203549,5410
2023-04-06,AG,RO,RON,1.223119,18036
2023-04-07,AG,RO,RON,1.242689,19287
2023-04-10,AG,RO,RON,1.257366,2338
2023-04-11,AG,RO,RON,1.267151,1982
2023-04-12,AG,RO,RON,1.252474,3756
2023-04-13,AG,RO,RON,1.267151,3578
2023-04-18,AG,RO,RON,1.262258,4493
2023-04-19,AG,RO,RON,1.262258,21346
2023-04-20,AG,RO,RON,1.252474,481
2023-04-21,AG,RO,RON,1.301398,17714
2023-04-24,AG,RO,RON,1.291613,6368
2023-04-25,AG,RO,RON,1.262258,16381
2023-04-26,AG,RO,RON,1.272043,2576
2023-04-27,AG,RO,RON,1.281828,14393
2023-04-28,AG,RO,RON,1.272043,2447
2023-05-02,AG,RO,RON,1.272043,2840
2023-05-03,AG,RO,RON,1.272043,6660
2023-05-04,AG,RO,RON,1.272043,27237
2023-05-05,AG,RO,RON,1.237796,8770
2023-05-08,AG,RO,RON,1.223119,5406
2023-05-09,AG,RO,RON,1.218226,8537
2023-05-10,AG,RO,RON,1.218226,1914
2023-05-11,AG,RO,RON,1.218226,1727
2023-05-12,AG,RO,RON,1.218226,16532
2023-05-15,AG,RO,RON,1.218226,7782
2023-05-16,AG,RO,RON,1.218226,9809
2023-05-17,AG,RO,RON,1.218226,1108
2023-05-18,AG,RO,RON,1.218226,312
2023-05-19,AG,RO,RON,1.213334,28647
2023-05-22,AG,RO,RON,1.208441,63177
2023-05-23,AG,RO,RON,1.208441,4063
2023-05-24,AG,RO,RON,1.198656,3954
2023-05-25,AG,RO,RON,1.203549,51518
2023-05-26,AG,RO,RON,1.208441,17707
2023-05-29,AG,RO,RON,1.208441,9274
2023-05-30,AG,RO,RON,1.203549,15089
2023-05-31,AG,RO,RON,1.193764,16748
2023-06-02,AG,RO,RON,1.193764,11738
2023-06-06,AG,RO,RON,1.198656,9795
2023-06-07,AG,RO,RON,1.198656,28696
2023-06-08,AG,RO,RON,1.154624,26675
2023-06-09,AG,RO,RON,1.183979,6771
2023-06-12,AG,RO,RON,1.198656,2333
2023-06-13,AG,RO,RON,1.213334,25674
2023-06-14,AG,RO,RON,1.213334,7097
2023-06-15,AG,RO,RON,1.232904,36786
2023-06-16,AG,RO,RON,1.237796,8128
2023-06-19,AG,RO,RON,1.267151,18649
2023-06-20,AG,RO,RON,1.252474,13659
2023-06-21,AG,RO,RON,1.208441,34938
2023-06-22,AG,RO,RON,1.223119,62074
2023-06-23,AG,RO,RON,1.208441,13609
2023-06-26,AG,RO,RON,1.193764,11360
2023-06-27,AG,RO,RON,1.193764,12002
2023-06-28,AG,RO,RON,1.198656,11145
2023-06-29,AG,RO,RON,1.208441,17578
2023-06-30,AG,RO,RON,1.198656,30116
2023-07-03,AG,RO,RON,1.198656,13251
2023-07-04,AG,RO,RON,1.193764,26744
2023-07-05,AG,RO,RON,1.242689,25580
2023-07-06,AG,RO,RON,1.193764,88007
2023-07-07,AG,RO,RON,1.223119,9493
2023-07-10,AG,RO,RON,1.237796,20749
2023-07-11,AG,RO,RON,1.242689,26558
2023-07-12,AG,RO,RON,1.257366,23370
2023-07-13,AG,RO,RON,1.237796,19914
2023-07-14,AG,RO,RON,1.208441,24837
2023-07-17,AG,RO,RON,1.218226,106565
2023-07-18,AG,RO,RON,1.174194,69141
2023-07-19,AG,RO,RON,1.198656,105386
2023-07-20,AG,RO,RON,1.193764,61551
2023-07-21,AG,RO,RON,1.193764,32477
2023-07-24,AG,RO,RON,1.198656,14775
2023-07-25,AG,RO,RON,1.208441,17752
2023-07-26,AG,RO,RON,1.208441,18821
2023-07-27,AG,RO,RON,1.25,11985
2023-07-28,AG,RO,RON,1.26,14798
2023-07-31,AG,RO,RON,1.275,21657
2023-08-01,AG,RO,RON,1.27,6073
2023-08-02,AG,RO,RON,1.275,17039
2023-08-03,AG,RO,RON,1.27,18380
2023-08-04,AG,RO,RON,1.25,3539
2023-08-07,AG,RO,RON,1.245,15201
2023-08-08,AG,RO,RON,1.23,6652
2023-08-09,AG,RO,RON,1.25,5197
2023-08-10,AG,RO,RON,1.25,9806
2023-08-11,AG,RO,RON,1.25,2398
