Ticker,Region,n,hit_rate,mae,bias,score_0_100,confidence_tier
GSH,RO,52,0.4038,2.3218,-0.1078,45.2,MEDIUM
AROBS,RO,52,0.2885,1.9934,-0.3265,41.9,LOW
H2O,RO,52,0.4231,1.4597,-0.6389,46.21,MEDIUM
TRP,RO,52,0.4808,2.6118,-0.409,47.13,MEDIUM
SNP,RO,52,0.5577,1.8814,-0.7627,49.84,MEDIUM
WINE,RO,52,0.3462,1.9085,-0.1579,43.78,LOW
EL,RO,52,0.6346,2.9198,-1.506,50.95,MEDIUM
TLV,RO,52,0.4808,1.8889,-0.7923,47.52,MEDIUM
AQ,RO,52,0.4423,2.1061,-0.2799,46.44,MEDIUM
FP,RO,52,0.4231,3.7157,-1.2447,44.1,LOW
AG,RO,52,0.3654,1.7701,-0.4594,44.32,LOW
ALR,RO,52,0.3077,1.3469,0.0323,43.14,LOW
BATE.DE,EU,52,0.3462,3.0688,-1.9199,41.97,LOW
SNN,RO,52,0.5192,2.7459,-1.3356,47.71,MEDIUM
NIO,US,52,0.3846,5.6418,-0.5017,41.77,LOW
JD,US,52,0.4231,2.6165,0.6325,45.28,MEDIUM
PATH,US,52,0.3654,7.9018,0.3281,39.48,LOW
NRF,RO,52,0.3846,2.8912,0.3612,44.04,LOW
HAI,RO,52,0.3654,2.6419,0.7195,43.49,LOW
BABA,US,52,0.4615,4.1713,0.1909,45.41,MEDIUM
LHA.DE,EU,52,0.4231,3.5309,0.1463,44.79,LOW
NVDA,US,52,0.3077,4.8398,-0.3291,40.19,LOW
